iter	Passed	Remaining
0	2	272
1	6	300
2	8	285
3	10	262
4	13	255
5	15	246
6	18	240
7	20	240
8	23	237
9	25	233
10	28	227
11	30	223
12	32	218
13	35	218
14	38	216
15	41	217
16	44	216
17	46	212
18	49	211
19	52	208
20	54	206
21	59	210
22	62	209
23	66	210
24	70	210
25	75	215
26	82	222
27	85	221
28	89	218
29	94	220
30	99	221
31	105	224
32	108	220
33	111	216
34	116	215
35	119	211
36	122	209
37	130	212
38	133	208
39	136	204
40	140	201
41	141	195
42	146	194
43	149	189
44	152	186
45	157	184
46	160	180
47	162	176
48	165	172
49	169	169
50	173	166
51	176	162
52	178	158
53	181	154
54	184	150
55	188	147
56	190	143
57	193	140
58	196	136
59	201	134
60	204	130
61	206	126
62	209	123
63	213	119
64	216	116
65	219	112
66	222	109
67	224	105
68	228	102
69	230	98
70	232	95
71	236	92
72	239	88
73	242	85
74	246	82
75	249	78
76	252	75
77	255	71
78	258	68
79	262	65
80	265	62
81	268	59
82	272	55
83	276	52
84	280	49
85	283	46
86	285	42
87	289	39
88	293	36
89	296	32
90	298	29
91	302	26
92	306	23
93	309	19
94	312	16
95	314	13
96	318	9
97	321	6
98	324	3
99	327	0
