iter	Passed	Remaining
0	146	146204
1	148	73878
2	149	49605
3	150	37455
4	153	30563
5	155	25706
6	157	22397
7	159	19736
8	160	17651
9	161	15983
10	162	14643
11	164	13536
12	166	12605
13	168	11863
14	169	11162
15	171	10534
16	174	10067
17	175	9600
18	177	9177
19	179	8810
20	184	8612
21	186	8294
22	188	8006
23	189	7721
24	190	7444
25	192	7202
26	193	6982
27	194	6763
28	197	6616
29	200	6471
30	201	6299
31	202	6134
32	204	5981
33	206	5873
34	207	5732
35	209	5604
36	212	5518
37	214	5421
38	215	5304
39	216	5205
40	218	5105
41	219	5008
42	220	4916
43	222	4829
44	223	4745
45	225	4666
46	227	4615
47	229	4545
48	230	4471
49	232	4416
50	233	4345
51	234	4277
52	235	4212
53	237	4155
54	238	4096
55	240	4051
56	241	4003
57	243	3950
58	245	3920
59	248	3896
60	251	3865
61	252	3818
62	253	3777
63	256	3749
64	257	3708
65	259	3668
66	261	3643
67	262	3604
68	264	3564
69	265	3524
70	266	3485
71	267	3448
72	269	3416
73	271	3401
74	274	3382
75	276	3361
76	277	3328
77	278	3297
78	280	3267
79	281	3236
80	282	3207
81	284	3181
82	285	3152
83	286	3128
84	288	3101
85	289	3075
86	291	3062
87	293	3036
88	294	3012
89	295	2986
90	296	2962
91	297	2938
92	301	2935
93	302	2919
94	306	2915
95	307	2898
96	309	2877
97	310	2856
98	311	2834
99	312	2815
100	315	2809
101	317	2797
102	320	2787
103	322	2777
104	324	2765
105	325	2748
106	336	2812
107	338	2799
108	341	2792
109	344	2789
110	346	2778
111	348	2761
112	351	2755
113	353	2744
114	355	2732
115	356	2720
116	361	2730
117	364	2727
118	371	2748
119	373	2740
120	383	2782
121	384	2765
122	385	2749
123	387	2734
124	389	2725
125	391	2717
126	393	2701
127	394	2689
128	396	2677
129	397	2662
130	401	2664
131	403	2651
132	406	2649
133	409	2643
134	411	2636
135	414	2633
136	416	2620
137	417	2610
138	419	2598
139	422	2596
140	425	2593
141	427	2583
142	429	2573
143	431	2564
144	432	2552
145	438	2564
146	440	2557
147	444	2559
148	445	2547
149	448	2539
150	450	2531
151	454	2533
152	456	2528
153	459	2523
154	460	2512
155	462	2504
156	464	2492
157	467	2491
158	469	2480
159	470	2469
160	471	2456
161	473	2448
162	475	2440
163	476	2429
164	477	2418
165	479	2407
166	482	2406
167	483	2396
168	486	2391
169	487	2382
170	489	2373
171	490	2363
172	492	2354
173	494	2348
174	498	2349
175	500	2343
176	501	2333
177	503	2323
178	504	2313
179	505	2304
180	507	2294
181	508	2284
182	509	2275
183	511	2269
184	513	2261
185	515	2257
186	517	2248
187	518	2239
188	519	2230
189	521	2223
190	523	2215
191	524	2209
192	527	2205
193	529	2199
194	531	2193
195	533	2186
196	534	2178
197	536	2171
198	537	2163
199	541	2165
200	543	2160
201	544	2152
202	546	2145
203	549	2144
204	551	2137
205	552	2130
206	554	2124
207	555	2116
208	558	2113
209	559	2106
210	561	2100
211	565	2101
212	567	2096
213	568	2088
214	570	2081
215	571	2074
216	572	2066
217	573	2058
218	574	2050
219	576	2043
220	579	2041
221	581	2038
222	583	2031
223	584	2026
224	586	2021
225	588	2016
226	590	2010
227	591	2004
228	597	2010
229	600	2010
230	602	2004
231	603	1998
232	605	1992
233	606	1986
234	608	1979
235	610	1976
236	612	1971
237	613	1964
238	614	1957
239	617	1954
240	619	1949
241	620	1943
242	621	1937
243	623	1932
244	627	1932
245	628	1927
246	629	1920
247	631	1913
248	632	1907
249	634	1902
250	635	1896
251	636	1890
252	641	1892
253	642	1887
254	643	1881
255	645	1874
256	646	1869
257	647	1863
258	649	1857
259	650	1851
260	652	1846
261	654	1843
262	656	1838
263	658	1834
264	659	1828
265	660	1823
266	661	1817
267	663	1811
268	664	1806
269	665	1800
270	667	1795
271	670	1793
272	672	1789
273	673	1784
274	674	1778
275	675	1772
276	676	1766
277	678	1761
278	679	1756
279	680	1750
280	682	1745
281	684	1742
282	685	1737
283	687	1733
284	689	1728
285	690	1723
286	691	1717
287	693	1713
288	694	1709
289	696	1704
290	699	1703
291	702	1702
292	703	1698
293	705	1693
294	706	1687
295	707	1683
296	709	1679
297	710	1674
298	712	1669
299	714	1667
300	716	1664
301	718	1659
302	719	1654
303	720	1649
304	721	1644
305	723	1640
306	725	1637
307	726	1632
308	728	1629
309	730	1625
310	732	1621
311	733	1617
312	734	1612
313	735	1607
314	737	1603
315	738	1598
316	739	1594
317	741	1589
318	742	1585
319	744	1582
320	746	1579
321	747	1574
322	748	1569
323	750	1565
324	751	1560
325	752	1555
326	753	1550
327	754	1546
328	756	1542
329	758	1539
330	761	1538
331	762	1534
332	764	1530
333	765	1526
334	767	1522
335	768	1519
336	770	1515
337	772	1512
338	774	1509
339	777	1508
340	779	1506
341	780	1502
342	782	1497
343	783	1494
344	785	1492
345	792	1497
346	793	1493
347	795	1489
348	796	1486
349	798	1483
350	804	1487
351	807	1485
352	808	1482
353	810	1478
354	812	1476
355	813	1472
356	815	1468
357	820	1470
358	822	1468
359	824	1465
360	825	1461
361	827	1458
362	829	1454
363	830	1450
364	841	1464
365	843	1461
366	845	1458
367	846	1454
368	857	1465
369	859	1463
370	861	1459
371	862	1455
372	869	1461
373	874	1464
374	880	1467
375	882	1463
376	883	1459
377	884	1455
378	898	1472
379	901	1470
380	907	1473
381	910	1473
382	913	1470
383	914	1467
384	917	1465
385	920	1463
386	925	1465
387	927	1463
388	928	1459
389	930	1455
390	936	1458
391	937	1454
392	939	1450
393	940	1446
394	941	1441
395	943	1438
396	944	1435
397	946	1432
398	951	1433
399	954	1432
400	956	1428
401	957	1424
402	958	1419
403	959	1415
404	964	1417
405	966	1414
406	970	1413
407	971	1409
408	972	1405
409	973	1401
410	974	1397
411	980	1399
412	983	1397
413	985	1394
414	986	1390
415	987	1386
416	989	1383
417	990	1379
418	995	1380
419	998	1378
420	1000	1375
421	1001	1371
422	1002	1367
423	1003	1362
424	1004	1359
425	1005	1355
426	1009	1354
427	1012	1353
428	1014	1350
429	1015	1346
430	1017	1342
431	1018	1339
432	1021	1338
433	1026	1339
434	1028	1335
435	1029	1332
436	1031	1329
437	1033	1325
438	1034	1321
439	1036	1318
440	1037	1315
441	1039	1312
442	1041	1309
443	1042	1305
444	1043	1301
445	1045	1298
446	1046	1294
447	1047	1290
448	1048	1286
449	1050	1284
450	1052	1281
451	1054	1277
452	1055	1274
453	1056	1270
454	1058	1267
455	1059	1264
456	1060	1260
457	1062	1256
458	1063	1253
459	1065	1250
460	1067	1247
461	1068	1244
462	1070	1241
463	1071	1237
464	1072	1234
465	1073	1230
466	1075	1227
467	1076	1223
468	1077	1220
469	1078	1216
470	1082	1216
471	1084	1213
472	1085	1209
473	1087	1206
474	1088	1202
475	1089	1199
476	1090	1195
477	1091	1192
478	1093	1188
479	1094	1186
480	1096	1183
481	1098	1180
482	1100	1177
483	1101	1174
484	1102	1170
485	1103	1167
486	1104	1163
487	1106	1160
488	1107	1157
489	1108	1153
490	1110	1151
491	1112	1148
492	1113	1145
493	1115	1142
494	1116	1138
495	1117	1135
496	1118	1132
497	1119	1128
498	1121	1125
499	1122	1122
500	1123	1119
501	1125	1116
502	1126	1113
503	1128	1110
504	1129	1107
505	1131	1104
506	1132	1101
507	1133	1097
508	1134	1094
509	1136	1091
510	1137	1088
511	1138	1085
512	1140	1082
513	1142	1079
514	1144	1077
515	1145	1074
516	1146	1070
517	1147	1067
518	1148	1064
519	1150	1061
520	1151	1058
521	1153	1056
522	1154	1053
523	1159	1053
524	1160	1050
525	1162	1047
526	1163	1044
527	1164	1040
528	1165	1037
529	1166	1034
530	1167	1031
531	1169	1028
532	1173	1028
533	1174	1025
534	1176	1022
535	1177	1019
536	1178	1016
537	1180	1013
538	1181	1010
539	1182	1007
540	1184	1004
541	1186	1002
542	1188	1000
543	1190	997
544	1191	994
545	1193	992
546	1194	989
547	1195	986
548	1197	983
549	1198	980
550	1201	978
551	1203	977
552	1205	974
553	1206	971
554	1208	968
555	1209	965
556	1210	962
557	1212	960
558	1213	957
559	1217	956
560	1219	954
561	1220	951
562	1222	948
563	1223	946
564	1227	944
565	1228	942
566	1235	943
567	1237	941
568	1239	938
569	1240	935
570	1241	932
571	1242	929
572	1243	926
573	1245	924
574	1247	922
575	1249	920
576	1251	917
577	1252	914
578	1253	911
579	1254	908
580	1255	905
581	1257	902
582	1258	900
583	1259	897
584	1262	895
585	1263	892
586	1265	890
